# Logfile created on 2017-12-19 21:06:27 -0500 by logger.rb/56815
E, [2017-12-19T21:06:27.693698 #12120] ERROR -- Pubnub: 
D, [2017-12-30T07:58:02.340427 #4344] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:58:02.341440 #4344] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:58:02.342452 #4344] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:58:02.344480 #4344] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=video.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=oa4KgRjVI9HG81NvV1Pik8qqFVzyVVNshlRVw0UPaZM%3D&timestamp=1514645882&ttl=0&uuid=3c3a75bf-4848-4842-9e4a-858d8ecef728&w=1
D, [2017-12-30T07:58:02.400737 #4344] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:58:02.402240 #4344] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:58:02.406295 #4344] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:58:02.406800 #4344] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:58:02.407813 #4344] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:58:02.408826 #4344] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:58:02.409340 #4344] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:58:02.409849 #4344] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:58:02.410856 #4344] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:58:02.412375 #4344] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?channel=notifications.*&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=MuioJHJbbJ7cxQAHnNxadcR6-yULF0UCiuCj9OCSubs%3D&timestamp=1514645882&ttl=0&uuid=3c3a75bf-4848-4842-9e4a-858d8ecef728&w=1
D, [2017-12-30T07:58:02.456456 #4344] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:58:02.456960 #4344] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
D, [2017-12-30T07:59:37.247011 #4344] DEBUG -- Pubnub::Telemetry: Fetching telemetry for 
D, [2017-12-30T07:59:37.247518 #4344] DEBUG -- Pubnub::Event: Initialized Pubnub::Grant
D, [2017-12-30T07:59:37.248532 #4344] DEBUG -- Pubnub::Event: Fired event Pubnub::Grant
D, [2017-12-30T07:59:37.249049 #4344] DEBUG -- Pubnub::Event: #send_request called
D, [2017-12-30T07:59:37.249049 #4344] DEBUG -- Pubnub::SingleEvent: #request_dispatcher called
D, [2017-12-30T07:59:37.249571 #4344] DEBUG -- Pubnub::Client: Looking for requester for sync single_event
D, [2017-12-30T07:59:37.250049 #4344] DEBUG -- Pubnub::Event: #send_request got sender
D, [2017-12-30T07:59:37.252586 #4344] DEBUG -- Pubnub::Event: Requested URI: http://ps.pndsn.com/v1/auth/grant/sub-key/sub-c-56b97168-e529-11e7-a7db-e6c6e9cd0a3f?auth=37d86ba22427e58516be46583c358d76&channel=notifications.1&m=1&pnsdk=PubNub-Ruby%2F4.0.27&r=1&signature=4N4eHnn8R0htE86zCQGk9u8a79T1N2-3Seshr_4i9BQ%3D&timestamp=1514645977&ttl=0&uuid=3c3a75bf-4848-4842-9e4a-858d8ecef728&w=1
D, [2017-12-30T07:59:37.307334 #4344] DEBUG -- Pubnub::Event: Event#handle
D, [2017-12-30T07:59:37.308826 #4344] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Grant
